chr1	0.037	0.5005673707894058
chr2	0.062	0.042792013924212634
chr3	0.019	0.9937026761524456
chr4	0.049	0.18116454248303263
chr5	0.078	0.004543821879051605
chr6	0.048	0.19957365535779528
chr7	0.045	0.26347172719864703
chr8	0.049	0.18116454248303263
chr9	0.033	0.647814872077161
chr10	0.042	0.34112475112661245
chr11	0.033	0.647814872077161
chr12	0.026	0.8881734182535203
chr13	0.036	0.5362766985932181
chr14	0.083	0.0020287627507189713
chr15	0.068	0.01960232095219542
chr16	0.1	8.974277567313009e-05
chr17	0.023	0.9542189106778983
chr18	0.07	0.014870029418858987
chr19	0.051	0.14836452078962484
