,gene1,gene2,gene_dis,gene_dis_corr
0,ENSMUSG00000105954,ENSMUSG00000005299,70674501.5,-0.057607503245105635
1,ENSMUSG00000079156,ENSMUSG00000104369,1502996.0,-0.3349352185046588
2,ENSMUSG00000029650,ENSMUSG00000006641,116844146.0,-0.30411104024902075
3,ENSMUSG00000093510,ENSMUSG00000107205,33860859.0,-0.37741606627104335
4,ENSMUSG00000053268,ENSMUSG00000105198,39350784.5,0.13953758737777805
5,ENSMUSG00000104892,ENSMUSG00000025857,81707891.5,0.025476608871519656
6,ENSMUSG00000029306,ENSMUSG00000106386,27668648.0,0.14741071017678226
7,ENSMUSG00000107200,ENSMUSG00000105531,14399403.5,0.08714475634361947
8,ENSMUSG00000029280,ENSMUSG00000029205,22049418.0,-0.0674936151406783
9,ENSMUSG00000080893,ENSMUSG00000001467,126095650.0,-0.009572147621950295
10,ENSMUSG00000015879,ENSMUSG00000035234,55228419.0,-0.6346025488453109
11,ENSMUSG00000105912,ENSMUSG00000106178,46531040.5,-0.28435742366529476
12,ENSMUSG00000106995,ENSMUSG00000055302,30333004.5,0.2008381986178898
13,ENSMUSG00000029406,ENSMUSG00000028883,110820235.5,0.3404963162753843
14,ENSMUSG00000029417,ENSMUSG00000107353,23111642.0,0.030938544860357468
15,ENSMUSG00000054909,ENSMUSG00000098027,22411383.5,0.15236540201882126
16,ENSMUSG00000106035,ENSMUSG00000064851,96868227.0,-0.4402935202760132
17,ENSMUSG00000100783,ENSMUSG00000072720,36442039.0,0.22458870686029023
18,ENSMUSG00000029482,ENSMUSG00000058503,121939576.5,0.5483248055621492
19,ENSMUSG00000097092,ENSMUSG00000106110,55553579.0,0.258948467580555
20,ENSMUSG00000104966,ENSMUSG00000006641,70741894.5,0.28210531085745977
21,ENSMUSG00000046808,ENSMUSG00000042589,49702182.0,-0.2921089857405871
22,ENSMUSG00000105502,ENSMUSG00000096846,36869626.5,-0.4906467812108715
23,ENSMUSG00000042476,ENSMUSG00000086234,65109661.5,0.005053312820209193
24,ENSMUSG00000029416,ENSMUSG00000014932,94965166.5,0.48214772368561526
25,ENSMUSG00000106688,ENSMUSG00000103927,66250382.5,-0.008237436499753477
26,ENSMUSG00000052848,ENSMUSG00000028999,87789137.0,0.008123371483993077
27,ENSMUSG00000106190,ENSMUSG00000029330,35393504.5,0.30819962902260456
28,ENSMUSG00000085540,ENSMUSG00000085957,7046835.0,-0.12028208717638943
29,ENSMUSG00000029158,ENSMUSG00000086873,69619475.0,-0.3352394756307552
30,ENSMUSG00000039771,ENSMUSG00000106541,23018991.5,-0.11560375293111759
31,ENSMUSG00000093510,ENSMUSG00000042078,5176722.5,-0.10033043180022055
32,ENSMUSG00000104765,ENSMUSG00000089809,76085313.5,-0.2141558666817442
33,ENSMUSG00000009013,ENSMUSG00000059447,85129134.0,-0.0012135674446961766
34,ENSMUSG00000029245,ENSMUSG00000086054,30747341.5,-0.4835845671880635
35,ENSMUSG00000104985,ENSMUSG00000049907,47191354.0,-0.5790499005268809
36,ENSMUSG00000106675,ENSMUSG00000104562,24384934.0,-0.08267291092330305
37,ENSMUSG00000084111,ENSMUSG00000050553,5315470.0,0.4379780378942783
38,ENSMUSG00000097561,ENSMUSG00000054252,4344777.5,0.45727375654939983
39,ENSMUSG00000072576,ENSMUSG00000106777,14963963.0,0.17676557430568288
40,ENSMUSG00000041939,ENSMUSG00000091970,11395916.0,0.3461544384559374
41,ENSMUSG00000039477,ENSMUSG00000035861,56104165.0,0.22411822807914009
42,ENSMUSG00000105024,ENSMUSG00000104581,16795237.0,-0.22311112910813233
43,ENSMUSG00000107327,ENSMUSG00000106888,82835529.0,-0.19760796282916526
44,ENSMUSG00000104916,ENSMUSG00000023106,1540441.0,0.27101721339490825
45,ENSMUSG00000106115,ENSMUSG00000107009,47035047.0,0.6006986498794648
46,ENSMUSG00000105341,ENSMUSG00000061979,28281700.5,0.17324891031224898
47,ENSMUSG00000085606,ENSMUSG00000042985,25710287.0,0.12540613514506896
48,ENSMUSG00000105348,ENSMUSG00000104672,5025843.5,0.530497688025588
49,ENSMUSG00000029111,ENSMUSG00000107251,41821879.0,-0.037949456619637924
50,ENSMUSG00000067855,ENSMUSG00000016128,137341453.5,0.07669574507934486
51,ENSMUSG00000060730,ENSMUSG00000105299,96844860.5,-0.19947454643159596
52,ENSMUSG00000105600,ENSMUSG00000045482,38597529.0,0.10132813696824718
53,ENSMUSG00000055302,ENSMUSG00000086122,79453510.0,0.26978690845332737
54,ENSMUSG00000079163,ENSMUSG00000082867,129632606.5,-0.0852890869697309
55,ENSMUSG00000059866,ENSMUSG00000049285,103689928.5,0.08951458375680017
56,ENSMUSG00000029228,ENSMUSG00000106214,26588330.5,0.25671882759603304
57,ENSMUSG00000082389,ENSMUSG00000104871,30892727.5,0.37835717472679825
58,ENSMUSG00000036403,ENSMUSG00000105664,37311762.5,-0.2383100906324039
