,gene1,gene2,gene_dis,gene_dis_corr
0,ENSMUSG00000029321,ENSMUSG00000029598,16875896.5,0.6572696197233051
1,ENSMUSG00000013629,ENSMUSG00000079165,106575488.5,0.7189020109566391
2,ENSMUSG00000042249,ENSMUSG00000029145,81772642.5,0.768010909555744
3,ENSMUSG00000104641,ENSMUSG00000019494,72685575.5,0.8491253217246494
4,ENSMUSG00000075593,ENSMUSG00000029655,12368214.5,0.6532817868479236
5,ENSMUSG00000039765,ENSMUSG00000105742,78465108.0,0.7665079656553004
6,ENSMUSG00000090671,ENSMUSG00000061601,11318342.5,0.7346487183731725
7,ENSMUSG00000105514,ENSMUSG00000029328,14080134.5,0.7395550318684224
8,ENSMUSG00000038072,ENSMUSG00000029267,82843428.0,0.7301516884624293
9,ENSMUSG00000029178,ENSMUSG00000106339,48244697.5,0.7971325332520948
10,ENSMUSG00000037890,ENSMUSG00000044134,56621752.5,0.874772912402785
11,ENSMUSG00000106679,ENSMUSG00000058153,73030280.0,0.729100185032382
12,ENSMUSG00000029501,ENSMUSG00000036639,30086069.0,0.6550130059897261
13,ENSMUSG00000106849,ENSMUSG00000094226,122437788.0,0.7711857328671866
14,ENSMUSG00000040576,ENSMUSG00000105730,70542090.5,0.7305052925672114
15,ENSMUSG00000032898,ENSMUSG00000104655,68986782.0,0.6792416782796471
16,ENSMUSG00000107385,ENSMUSG00000086873,71678370.0,0.6935743437594933
17,ENSMUSG00000038970,ENSMUSG00000002486,29429276.5,0.6650728098341032
18,ENSMUSG00000049550,ENSMUSG00000023284,13511263.5,0.9167791113872888
19,ENSMUSG00000059645,ENSMUSG00000104847,25856918.0,0.6965773873030722
20,ENSMUSG00000032850,ENSMUSG00000105495,13984577.5,0.7258987109385012
21,ENSMUSG00000039860,ENSMUSG00000105186,80187783.0,0.7738613916361686
22,ENSMUSG00000104704,ENSMUSG00000107195,58068200.5,0.8554959809558077
23,ENSMUSG00000085345,ENSMUSG00000029564,4783926.0,0.7833099417954228
24,ENSMUSG00000072694,ENSMUSG00000105332,65797672.0,0.7682664523232295
25,ENSMUSG00000051034,ENSMUSG00000040407,125657664.0,0.9318483598276504
26,ENSMUSG00000013622,ENSMUSG00000034173,98848205.5,0.6775721712739896
27,ENSMUSG00000088685,ENSMUSG00000080893,14585893.5,0.8792508246917085
28,ENSMUSG00000029121,ENSMUSG00000033773,70362569.0,0.7303941625939143
29,ENSMUSG00000044576,ENSMUSG00000111375,77362832.5,0.952554240120966
30,ENSMUSG00000107331,ENSMUSG00000033773,34317643.5,0.8221153132308119
31,ENSMUSG00000083909,ENSMUSG00000107050,56621551.5,0.7476729246174552
32,ENSMUSG00000029095,ENSMUSG00000029270,72126142.5,0.8864419506470039
33,ENSMUSG00000029681,ENSMUSG00000038342,11748704.0,0.7055424924983908
34,ENSMUSG00000039106,ENSMUSG00000107373,45167823.5,0.6562289252431109
35,ENSMUSG00000104626,ENSMUSG00000057315,89138953.0,0.7314327596733249
36,ENSMUSG00000079555,ENSMUSG00000086849,81353901.5,0.720285476609626
37,ENSMUSG00000104668,ENSMUSG00000106384,6033748.0,0.6961814708726591
38,ENSMUSG00000104936,ENSMUSG00000000600,128172922.0,0.921736151630337
