,TAD,random
0,0.6666666666666666,0.2
1,0.2,0.0
2,0.3,0.0
3,0.2,0.0
4,0.06666666666666667,0.0
5,0.15555555555555556,0.0
6,0.8,0.0
7,0.2,0.0
8,0.13333333333333333,0.06666666666666667
9,0.0,0.06666666666666667
10,0.06666666666666667,0.06666666666666667
11,0.6666666666666666,0.2
12,1.0,0.03571428571428571
13,1.0,0.0
14,0.3333333333333333,0.047619047619047616
15,0.0,0.0
16,0.6666666666666666,0.0
17,0.12087912087912088,0.02197802197802198
18,0.26666666666666666,0.0
19,0.26666666666666666,0.06666666666666667
20,0.17857142857142858,0.07142857142857142
21,0.26666666666666666,0.0
22,0.06666666666666667,0.2
23,0.3333333333333333,0.047619047619047616
24,0.06666666666666667,0.0
25,0.4,0.044444444444444446
26,0.2,0.13333333333333333
27,0.10714285714285714,0.10714285714285714
28,0.06666666666666667,0.0
29,0.2,0.0
30,0.3333333333333333,0.06666666666666667
31,0.08333333333333333,0.027777777777777776
32,0.3333333333333333,0.0
33,0.13333333333333333,0.0
34,0.1,0.1
35,0.06666666666666667,0.0
36,0.2222222222222222,0.06666666666666667
37,0.10714285714285714,0.0
38,0.03571428571428571,0.03571428571428571
39,0.26666666666666666,0.0
40,0.06666666666666667,0.13333333333333333
41,0.2222222222222222,0.044444444444444446
42,0.28888888888888886,0.0
43,0.21428571428571427,0.0
44,0.14285714285714285,0.23809523809523808
45,0.1,0.0
46,0.1,0.0
47,0.39285714285714285,0.14285714285714285
48,0.13333333333333333,0.13333333333333333
49,0.15204678362573099,0.06432748538011696
50,0.09523809523809523,0.09523809523809523
51,0.5,0.0
52,0.2,0.0
53,0.0,0.0
54,0.3,0.075
55,0.0457516339869281,0.058823529411764705
56,0.3,0.0
57,0.1,0.1
58,0.0,0.0
59,0.2545454545454545,0.10909090909090909
60,0.19444444444444445,0.08333333333333333
61,0.3,0.0
62,0.0,0.0
63,0.4,0.06666666666666667
64,0.044444444444444446,0.044444444444444446
65,0.6,0.0
66,0.16666666666666666,0.07692307692307693
67,0.17777777777777778,0.022222222222222223
68,0.1,0.2
69,0.06666666666666667,0.0
70,0.6,0.1
71,0.19047619047619047,0.09523809523809523
72,0.2857142857142857,0.0
73,0.0,0.0
74,0.8095238095238095,0.0
75,0.06666666666666667,0.06666666666666667
76,0.13333333333333333,0.0
77,0.17857142857142858,0.07142857142857142
78,0.1,0.0
79,0.3,0.1
80,0.2,0.0
81,0.0,0.0
82,0.4,0.0
83,0.13186813186813187,0.054945054945054944
84,0.509090909090909,0.05454545454545454
85,0.25,0.07142857142857142
86,0.5714285714285714,0.047619047619047616
87,0.6,0.2
88,0.1,0.0
89,0.2,0.0
90,0.2,0.0
91,0.3,0.0
92,0.07142857142857142,0.03571428571428571
93,0.2,0.0
94,0.19444444444444445,0.027777777777777776
95,0.5,0.0
96,1.0,0.2
97,0.0,0.0
98,0.2,0.0
99,0.14285714285714285,0.0
100,0.26666666666666666,0.0
101,0.26666666666666666,0.0
102,0.3,0.0
103,0.0,0.1
104,0.1,0.0
105,0.047619047619047616,0.0
106,0.0,0.06666666666666667
107,0.21428571428571427,0.10714285714285714
108,0.0,0.0
109,0.14285714285714285,0.0
110,0.05454545454545454,0.05454545454545454
111,0.35714285714285715,0.07142857142857142
112,0.2,0.0
113,0.2909090909090909,0.0
114,0.47619047619047616,0.047619047619047616
115,0.06666666666666667,0.0
116,0.2,0.1
117,0.2,0.1
118,0.1,0.1
119,0.42857142857142855,0.0
120,0.17857142857142858,0.14285714285714285
121,0.3333333333333333,0.08888888888888889
122,0.5714285714285714,0.09523809523809523
123,1.0,0.3
124,0.030303030303030304,0.06060606060606061
125,1.0,0.1
126,0.4,0.06666666666666667
127,0.10714285714285714,0.03571428571428571
128,0.13333333333333333,0.0
129,0.16666666666666666,0.13636363636363635
130,0.4,0.1
131,0.14285714285714285,0.0
132,0.06666666666666667,0.0
133,0.0,0.13333333333333333
134,0.13636363636363635,0.045454545454545456
135,1.0,0.0
136,0.3888888888888889,0.0
