,gene1,gene2,gene_dis,gene_dis_corr
0,ENSMUSG00000025817,ENSMUSG00000026768,6345820.0,0.8604335335386417
1,ENSMUSG00000026655,ENSMUSG00000043241,2327771.0,0.819078381402477
2,ENSMUSG00000033080,ENSMUSG00000046110,29237111.0,0.7268531457689342
3,ENSMUSG00000075174,ENSMUSG00000070529,77963892.0,0.8074409011084335
4,ENSMUSG00000033080,ENSMUSG00000075073,60851598.0,0.7886132163269897
5,ENSMUSG00000027300,ENSMUSG00000085975,70572031.0,0.6560527482001284
6,ENSMUSG00000046845,ENSMUSG00000087364,2746561.0,0.8125730458638863
7,ENSMUSG00000027239,ENSMUSG00000040434,438906.5,0.7521904939310233
8,ENSMUSG00000086454,ENSMUSG00000009549,13912484.5,0.7736007764568004
9,ENSMUSG00000037938,ENSMUSG00000027300,1478103.0,0.8358218796698347
10,ENSMUSG00000036850,ENSMUSG00000048550,3764241.0,0.8080973439810774
11,ENSMUSG00000107468,ENSMUSG00000040506,52960643.5,0.7737227692462416
12,ENSMUSG00000078867,ENSMUSG00000027176,72764746.0,0.7666654174580249
13,ENSMUSG00000083716,ENSMUSG00000070953,2019375.0,0.7113123537383202
14,ENSMUSG00000087018,ENSMUSG00000083469,39789862.5,0.6885232444694858
15,ENSMUSG00000074968,ENSMUSG00000084843,69575126.0,0.6647865866328576
16,ENSMUSG00000080859,ENSMUSG00000027164,3864474.0,0.7099813100984118
17,ENSMUSG00000085504,ENSMUSG00000005883,35676823.5,0.7102564130601432
18,ENSMUSG00000083341,ENSMUSG00000040035,36690702.0,0.9541156634390932
19,ENSMUSG00000057133,ENSMUSG00000044628,135784431.0,0.7844824657195347
20,ENSMUSG00000043415,ENSMUSG00000086353,28600729.0,0.6885846222265712
21,ENSMUSG00000026767,ENSMUSG00000026851,18593822.5,0.9008438028665777
22,ENSMUSG00000039804,ENSMUSG00000089917,16559408.5,0.814873137074778
23,ENSMUSG00000017858,ENSMUSG00000026994,96927867.5,0.7809161184896112
24,ENSMUSG00000017670,ENSMUSG00000082455,92190243.5,0.8880058265648003
25,ENSMUSG00000035772,ENSMUSG00000033396,93616331.0,0.8263911183020352
26,ENSMUSG00000082765,ENSMUSG00000026773,165613831.0,0.6649910118278458
27,ENSMUSG00000039715,ENSMUSG00000027603,125464094.5,0.9155128829293268
28,ENSMUSG00000104173,ENSMUSG00000065141,56617593.5,0.6741998624632419
29,ENSMUSG00000086669,ENSMUSG00000081889,23246864.0,0.7864120189538754
30,ENSMUSG00000026883,ENSMUSG00000027012,35592874.5,0.8483181468420777
31,ENSMUSG00000026925,ENSMUSG00000036646,1060451.0,0.8686232471485988
32,ENSMUSG00000047030,ENSMUSG00000045967,145887965.5,0.8906276155292457
33,ENSMUSG00000042894,ENSMUSG00000085946,62097868.5,0.6614605035229995
34,ENSMUSG00000015090,ENSMUSG00000075272,50508577.5,0.7149349516740257
35,ENSMUSG00000027329,ENSMUSG00000027411,744467.5,0.8229324923865393
36,ENSMUSG00000027104,ENSMUSG00000026774,50617271.5,0.7139587772247689
37,ENSMUSG00000026987,ENSMUSG00000040506,31769890.5,0.9189905459957958
38,ENSMUSG00000038324,ENSMUSG00000035513,126439554.5,0.658525268653289
39,ENSMUSG00000027475,ENSMUSG00000068130,2883088.0,0.7331534093787792
40,ENSMUSG00000034216,ENSMUSG00000026944,93854975.0,0.8401238420058914
41,ENSMUSG00000039715,ENSMUSG00000050373,134749606.0,0.7601707324255766
42,ENSMUSG00000036202,ENSMUSG00000026749,13544483.0,0.7766624301469642
43,ENSMUSG00000086641,ENSMUSG00000026812,43082656.0,0.7609516988628251
44,ENSMUSG00000039671,ENSMUSG00000075040,74194854.0,0.8409464920069641
45,ENSMUSG00000027634,ENSMUSG00000084071,135715428.0,0.7158877430662784
46,ENSMUSG00000017418,ENSMUSG00000034032,104709495.0,0.7374628314908166
47,ENSMUSG00000009551,ENSMUSG00000086699,37881934.0,0.6383653090853347
48,ENSMUSG00000058835,ENSMUSG00000027132,89406568.5,0.6930638996569382
